Type,Name,Product,Address,Address (Address2),City,State,Zip,Phone,Website,Website2,Geocode,lat,long,,
Business/Non-Profit,B-Organic,Produce storage bags,7 Lambert Cir,,Worcester,MA,01605,508-545-4115,b-organicma.com,,"42.3092735, -71.8246059",42.3092735,-71.8246059,,
Business/Non-Profit,Balanced Rock Advisors,"Financial planning, wealth management",1408 Centre St,,Roslindale,MA,02131,(617) 971-8323,balancedrockinvestmentadvisors.com/,,"42.2940107, -71.1360785",42.2940107,-71.1360785,,
Business/Non-Profit,Basil Tree Catering,Corporate catering,10 Fawcett Street,,Cambridge,MA,02138,(617) 776-9100,www.basiltree.com,,"42.389329, -71.1453622",42.389329,-71.1453622,,
Business/Non-Profit,BeReal Doughs,Cookie Dough,231 Route 6A ,,Yarmouth Port,MA,02675,(508) 737-5379,berealdoughs.com/,,"41.7043499, -70.2445297",41.7043499,-70.2445297,,
Business/Non-Profit,BOLA granola,granola,10 Crissey Road,,Great Barrington,MA,01230,(413) 528-4745,www.bolagranola.com,,"42.21198529999999, -73.3427535",42.2119853,-73.3427535,,
Business/Non-Profit,Boston Organics,Produce & grocery home/office delivery,"50 Terminal Street,","Building 2, Suite 105 ",Charlestown,MA,02129,(617) 242.1700,bostonorganics.com/,,"42.3823692, -71.0605118",42.3823692,-71.0605118,,
Business/Non-Profit,Boston Solar,Solar panel installation,55 Sixth Rd,,Woburn,MA,01801,617-390-8792,www.bostonsolar.us/,,"42.5089358, -71.1501432",42.5089358,-71.1501432,,
Business/Non-Profit,Cabot Creamery Co-operative,Creamery,193 Home Farm Way,,Waitsfield,VT,05673,(888) 792-2268,www.cabotcheese.coop,,"44.22716519999999, -72.79040909999999",44.2271652,-72.7904091,,
,Cambridge Common (Flying Toad Inc.),Restaurant,1667 Massachusetts Ave,,Cambridge,MA,02138,617-547-1228,cambridgecommonrestaurant.com/,,"42.3820856, -71.1193674",42.3820856,-71.1193674,,
Business/Non-Profit,Cape Ann Fresh Foods,Community Supported Fishery,1 Blackburn Center,,Gloucester,MA,01930,(978) 283-2504,www.capeannfreshcatch.org,,"42.624922, -70.652605",42.624922,-70.652605,,
Business/Non-Profit,Cape Cod Coffee,"Coffee roaster
coffee cafe",348 Main St.,,Mashpee,MA,02649,(508) 477-2400,capecodcoffee.com/,,"41.6489904, -70.4790331",41.6489904,-70.4790331,,
Business/Non-Profit,"Capital Management Partners, LLC",Retirement Plan Design - ESG/Socially Responsible Investments - open to Individuals as well,100 Corporate Pl,,Peabody,MA,01960,(978) 535-8989,www.cmpadvisors.com,,"42.519578, -70.9960933",42.519578,-70.9960933,,
Business/Non-Profit,Chrisopher's (Flying Toad Inc.),Restaurant,1920 Massachusetts Ave,,Cambridge,MA,02140,(617) 876-9180,www.christopherscambridge.com,,"42.3890581, -71.1200508",42.3890581,-71.1200508,,
